dob,photo_taken,full_path,gender,age
723671,2009,['17/10000217_1981-05-05_2009.jpg'],1.0,28
711677,2008,['12/100012_1948-07-03_2008.jpg'],1.0,60
720044,2012,['16/10002116_1971-05-31_2012.jpg'],0.0,41
716189,2012,['02/10002702_1960-11-09_2012.jpg'],0.0,52
707745,1971,['41/10003541_1937-09-27_1971.jpg'],1.0,34
697114,1950,['99/10004299_1908-08-19_1950.jpg'],1.0,42
706177,1969,['56/1000456_1933-06-12_1969.jpg'],1.0,36
725873,2010,['82/10004882_1987-05-16_2010.jpg'],1.0,23
723643,2006,['47/10005947_1981-04-07_2006.jpg'],0.0,25
720853,2010,['50/10006850_1973-08-17_2010.jpg'],1.0,37
705106,2008,['81/1000781_1930-07-07_2008.jpg'],1.0,78
718880,2010,['97/100097_1968-03-23_2010.jpg'],1.0,42
723576,2014,['31/1001231_1981-01-30_2014.jpg'],1.0,33
724365,2011,['32/10012532_1983-03-30_2011.jpg'],0.0,28
703706,1986,['31/100131_1926-09-06_1986.jpg'],1.0,60
714561,1969,['45/10013345_1956-05-26_1969.jpg'],1.0,13
719082,2010,['95/10014795_1968-10-11_2010.jpg'],1.0,42
722145,2007,['79/10015679_1977-03-01_2007.jpg'],1.0,30
725945,2012,['74/10016074_1987-07-27_2012.jpg'],1.0,25
726136,2012,['25/10016225_1988-02-03_2012.jpg'],1.0,24
717180,2009,['88/10016688_1963-07-28_2009.jpg'],0.0,46
720839,2007,['64/10017464_1973-08-03_2007.jpg'],1.0,34
724779,2014,['21/10026321_1984-05-17_2014.jpg'],1.0,30
721280,2007,['62/10028362_1974-10-18_2007.jpg'],1.0,33
713769,2007,['71/1002871_1954-03-26_2007.jpg'],1.0,53
718098,2012,['80/1002980_1966-01-31_2012.jpg'],1.0,46
723355,2013,['13/10030613_1980-06-23_2013.jpg'],0.0,33
717802,2007,['43/1003243_1965-04-10_2007.jpg'],1.0,42
710562,2012,['59/10033359_1945-06-14_2012.jpg'],1.0,67
701488,1970,['49/1003449_1920-08-10_1970.jpg'],1.0,50
721930,2009,['29/10034929_1976-07-29_2009.jpg'],1.0,33
718549,2015,['84/100384_1967-04-27_2015.jpg'],1.0,48
719447,2013,['87/100387_1969-10-11_2013.jpg'],1.0,44
721809,2006,['48/1003948_1976-03-30_2006.jpg'],0.0,30
722960,2010,['27/1004027_1979-05-25_2010.jpg'],1.0,31
719695,2007,['60/1004160_1970-06-16_2007.jpg'],1.0,37
723590,2007,['29/1004429_1981-02-13_2007.jpg'],1.0,26
721591,2011,['40/1004540_1975-08-25_2011.jpg'],0.0,36
690933,1958,['00/10049200_1891-09-16_1958.jpg'],0.0,67
707724,2010,['79/1005079_1937-09-06_2010.jpg'],0.0,73
714236,2005,['31/1005131_1955-07-06_2005.jpg'],1.0,50
715885,2013,['58/1005258_1960-01-10_2013.jpg'],0.0,53
724074,2009,['11/10054011_1982-06-12_2009.jpg'],1.0,27
727835,2010,['79/10055379_1992-09-28_2010.jpg'],1.0,18
723152,2006,['27/1005927_1979-12-03_2006.jpg'],1.0,27
725376,2009,['03/10064003_1986-01-04_2009.jpg'],0.0,23
723369,2005,['07/1006407_1980-07-07_2005.jpg'],0.0,25
714046,2000,['92/100692_1954-12-28_2000.jpg'],1.0,46
720644,2011,['07/1007007_1973-01-20_2011.jpg'],1.0,38
723835,2010,['45/10071745_1981-10-16_2010.jpg'],1.0,29
706891,2005,['92/1007192_1935-05-27_2005.jpg'],0.0,70
716334,2010,['71/10071_1961-04-03_2010.jpg'],0.0,49
720446,2009,['98/10072598_1972-07-06_2009.jpg'],1.0,37
724344,2013,['99/1007499_1983-03-09_2013.jpg'],1.0,30
710341,1982,['01/10075401_1944-11-05_1982.jpg'],1.0,38
726113,2010,['15/10075415_1988-01-11_2010.jpg'],0.0,22
711482,2007,['64/1007764_1947-12-21_2007.jpg'],1.0,60
727268,2010,['69/10079169_1991-03-11_2010.jpg'],0.0,19
725440,2009,['28/1007928_1986-03-09_2009.jpg'],0.0,23
725592,2014,['46/10080646_1986-08-08_2014.jpg'],0.0,28
714766,2009,['33/1008133_1956-12-17_2009.jpg'],1.0,53
715313,2009,['83/1008283_1958-06-17_2009.jpg'],1.0,51
726548,2014,['76/10084176_1989-03-21_2014.jpg'],1.0,25
720175,2010,['01/1008501_1971-10-09_2010.jpg'],1.0,39
721251,2015,['06/1008506_1974-09-19_2015.jpg'],0.0,41
710433,1973,['81/10088281_1945-02-05_1973.jpg'],1.0,28
707940,1976,['40/1008840_1938-04-10_1976.jpg'],1.0,38
714729,2008,['76/10088476_1956-11-10_2008.jpg'],1.0,52
724007,2002,['54/10088854_1982-04-06_2002.jpg'],1.0,20
724123,2009,['10/10089110_1982-07-31_2009.jpg'],1.0,27
719394,2000,['44/10089844_1969-08-19_2000.jpg'],1.0,31
725447,2012,['74/10093174_1986-03-16_2012.jpg'],1.0,26
726670,2011,['85/10093585_1989-07-21_2011.jpg'],0.0,22
723611,2007,['53/1009453_1981-03-06_2007.jpg'],0.0,26
696397,1941,['36/20000636_1906-09-02_1941.jpg'],1.0,35
721688,1996,['19/2000219_1975-11-30_1996.jpg'],0.0,21
723820,2013,['62/2000562_1981-10-01_2013.jpg'],1.0,32
712284,2011,['74/20008074_1950-03-02_2011.jpg'],1.0,61
718933,2007,['64/20010364_1968-05-15_2007.jpg'],1.0,39
715880,2013,['18/2001318_1960-01-05_2013.jpg'],1.0,53
725511,2012,['06/20013406_1986-05-19_2012.jpg'],1.0,26
703348,1958,['13/20013513_1925-09-13_1958.jpg'],1.0,33
727149,2011,['78/20015278_1990-11-12_2011.jpg'],1.0,21
711147,1993,['40/2001740_1947-01-20_1993.jpg'],1.0,46
726846,2014,['61/20022961_1990-01-13_2014.jpg'],1.0,24
722884,2009,['55/20025755_1979-03-10_2009.jpg'],1.0,30
702375,1951,['69/20027069_1923-01-14_1951.jpg'],1.0,28
727001,2014,['50/20027350_1990-06-17_2014.jpg'],1.0,24
724182,2013,['56/2002856_1982-09-28_2013.jpg'],0.0,31
718612,2009,['40/20033040_1967-06-29_2009.jpg'],0.0,42
715128,2014,['35/20033935_1957-12-14_2014.jpg'],1.0,57
725552,2009,['55/20034355_1986-06-29_2009.jpg'],1.0,23
687270,1944,['57/200357_1881-09-05_1944.jpg'],1.0,63
688817,1940,['85/200385_1885-11-30_1940.jpg'],1.0,55
692069,1944,['03/20042203_1894-10-26_1944.jpg'],1.0,50
716387,2011,['55/2004855_1961-05-26_2011.jpg'],1.0,50
718757,2010,['28/20050128_1967-11-21_2010.jpg'],1.0,43
720554,2008,['90/2005290_1972-10-22_2008.jpg'],0.0,36
706981,1956,['58/20054558_1935-08-25_1956.jpg'],1.0,21
714740,2009,['74/2005574_1956-11-21_2009.jpg'],0.0,53
711151,1978,['91/200591_1947-01-24_1978.jpg'],1.0,31
696876,1945,['61/2006361_1907-12-25_1945.jpg'],1.0,38
707072,1960,['81/20065381_1935-11-24_1960.jpg'],1.0,25
701199,1973,['98/20065598_1919-10-26_1973.jpg'],1.0,54
718369,2003,['79/2006579_1966-10-29_2003.jpg'],1.0,37
712028,2011,['09/20068709_1949-06-19_2011.jpg'],1.0,62
721103,2009,['78/20069078_1974-04-24_2009.jpg'],1.0,35
716794,2011,['30/2006930_1962-07-07_2011.jpg'],1.0,49
710563,2015,['94/2007194_1945-06-15_2015.jpg'],1.0,70
720728,2014,['50/200750_1973-04-14_2014.jpg'],1.0,41
719651,2009,['16/2008016_1970-05-03_2009.jpg'],1.0,39
706789,1956,['29/20088629_1935-02-14_1956.jpg'],1.0,21
722043,2012,['15/20089715_1976-11-19_2012.jpg'],1.0,36
725266,2010,['26/2009326_1985-09-16_2010.jpg'],1.0,25
717470,2008,['14/2009614_1964-05-13_2008.jpg'],1.0,44
726715,2011,['36/30001236_1989-09-04_2011.jpg'],1.0,22
724961,2012,['87/30008387_1984-11-15_2012.jpg'],0.0,28
727769,2015,['53/30009853_1992-07-24_2015.jpg'],1.0,23
722305,2011,['99/3001099_1977-08-08_2011.jpg'],0.0,34
717365,2010,['35/30011835_1964-01-29_2010.jpg'],1.0,46
710302,2010,['77/3001477_1944-09-27_2010.jpg'],0.0,66
719999,2011,['53/3002053_1971-04-16_2011.jpg'],1.0,40
724905,2011,['29/30021129_1984-09-20_2011.jpg'],1.0,27
718875,2007,['36/30022636_1968-03-18_2007.jpg'],1.0,39
703401,2008,['25/30028425_1925-11-05_2008.jpg'],1.0,83
724373,2012,['12/3002912_1983-04-07_2012.jpg'],1.0,29
714772,2014,['21/3003021_1956-12-23_2014.jpg'],1.0,58
714890,2011,['47/30034447_1957-04-20_2011.jpg'],1.0,54
714208,2014,['34/30034_1955-06-08_2014.jpg'],1.0,59
725098,2006,['03/30040203_1985-04-01_2006.jpg'],1.0,21
710742,2012,['02/30046202_1945-12-11_2012.jpg'],1.0,67
722879,2010,['34/3004634_1979-03-05_2010.jpg'],1.0,31
719019,2009,['72/3005072_1968-08-09_2009.jpg'],1.0,41
727541,2014,['13/30058713_1991-12-09_2014.jpg'],1.0,23
727269,2015,['62/30061462_1991-03-12_2015.jpg'],0.0,24
727270,2010,['79/30062079_1991-03-13_2010.jpg'],0.0,19
692028,1977,['50/300650_1894-09-15_1977.jpg'],1.0,83
698271,1941,['58/30066658_1911-10-20_1941.jpg'],1.0,30
711945,2005,['51/3006751_1949-03-28_2005.jpg'],1.0,56
722097,2009,['56/3006756_1977-01-12_2009.jpg'],1.0,32
